Symbol,DaysBetterThanSP,daysProfit,Year,Month,Day,dayOfWeek,NameLength,LastSale,MarketCap,Sector,Industry,CEOAge,CEOGender,City,stateCountry,netIncome,employees,IPOafterXYears,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,USACompany,FiscalMonth,Profitable,Safe,HomeRun
A,122,249,1999,11,18,3,26,68.17,21983228390.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,56,male, Santa Clara, CA,684000000.0,13500,0,1.6011647519999999,2.352507596,2.312974309,2.03984391,Yes,Oct,1,0,1
AAC,131,262,2014,10,2,3,18,11.07,270769100.4,Health Care,Medical Specialities,46,male, Brentwood, TN,-20580000.0,2100,0,-2.452645015,-1.194497793,0.138536036,0.881839488,Yes,Dec,1,1,0
AAP,128,261,2001,11,29,3,22,106.45,7874970874.0,Consumer Services,Other Specialty Stores,59,male, Roanoke, VA,475510000.0,71000,72,0.613550312,1.153715534,-0.128110148,-0.745906107,Yes,Dec,1,0,0
AAT,123,127,2011,1,13,3,27,34.0,1604955992.0,Consumer Services,Real Estate Investment Trusts,79,male, San Diego, CA,29080000.0,194,1,1.6924990880000002,1.824305221,1.813735696,2.26366565,Yes,Dec,0,0,0
AAV,76,1,2001,6,4,0,23,3.15,585784035.9,Energy,Oil & Gas Production,58,male, Calgary, Canada,95040000.0,36,4,-0.23006870699999998,0.8823611840000001,-0.0257798,-0.822976325,No,Dec,0,0,0
AAWW,96,224,2004,7,21,2,28,64.5,1640543826.0,Transportation,Transportation Services,63,male, Purchase, NY,224340000.0,2870,11,-1.931597836,-1.498699601,-1.793099471,0.16966743399999998,Yes,Dec,1,0,0
ABB,59,255,1999,7,23,4,7,23.01,49209335312.0,Consumer Durables,Electrical Products,53,male, Zurich, Switzerland,2180000000.0,134800,11,-0.6769142370000001,0.33540640000000005,0.908095029,1.192028224,No,Dec,1,0,0
ABBV,138,242,2012,12,10,0,11,92.6,147000000000.0,Health Care,Major Pharmaceuticals,63,male, North Chicago, IL,5280000000.0,29000,-1,1.1108917329999999,-0.155739337,0.506131094,0.909482169,Yes,Dec,1,1,0
ABCD,116,136,2009,12,9,2,28,12.22,572618531.9,Consumer Services,Publishing,54,male, Dallas, TX,45060000.0,649,0,-0.619289002,0.853670665,1.127652954,1.511871296,Yes,Dec,1,0,0
ABEO,64,8,1998,1,2,4,24,20.1,949261494.0,Health Care,Major Pharmaceuticals,55,male, Dallas, TX,-27320000.0,42,24,0.9194321540000001,1.082694361,1.5512433909999999,1.33131321,Yes,Dec,0,0,0
ABEV,88,183,1996,8,1,3,10,6.67,105000000000.0,Consumer Non-Durables,Beverages (Production/Distribution),47,male,sao paulo, Brazil,7330000000.0,800,-9,0.0,0.0,0.0,0.0,No,Dec,1,0,0
ABG,107,39,2002,3,14,3,27,68.1,1424192393.0,Consumer Durables,Automotive Aftermarket,52,male, Duluth, GA,139100000.0,8000,7,0.957769454,0.878586517,0.955312501,-0.07971330900000001,Yes,Dec,0,0,0
ABIO,93,44,1997,8,8,4,20,0.535,7444161.2,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,71,male, Westminster, CO,-18490000.0,20,5,-0.107413173,1.051881885,1.5341715880000002,1.838237341,Yes,Dec,0,0,0
ABLX,70,128,2017,10,20,4,9,55.09,960925559.8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),61,male, Ghent, Belgium,-108530000.0,438,16,1.63930179,2.155534046,2.42223508,1.8856991840000001,No,Dec,0,0,0
ABR,124,177,2004,4,7,2,18,8.65,540361477.8,Consumer Services,Real Estate Investment Trusts,54,male, Uniondale, NY,73390000.0,445,1,1.086594456,0.38271789100000003,1.007190925,1.3852997530000002,Yes,Dec,1,0,0
ABTX,126,170,2015,10,8,3,27,40.85,542678156.8,Finance,Major Banks,76,male, Houston, TX,17630000.0,375,7,1.80150808,-0.053560779,-0.648376756,-0.5802932479999999,Yes,Dec,1,0,0
ABUS,75,22,2007,7,23,0,29,5.25,289117694.3,Health Care,Major Pharmaceuticals,67,male, Burnaby, Canada,-84410000.0,130,2,0.783683063,1.4057663390000001,1.420154371,1.6269160219999999,No,Dec,0,0,0
AC,115,262,2015,11,9,0,30,36.55,863869959.2,Finance,Investment Bankers/Brokers/Service,62,male, Rye, NY,8840000.0,71,39,0.501547503,1.096904316,0.379330843,0.34018830899999997,Yes,Dec,1,0,0
ACAD,110,185,2004,5,27,3,27,18.98,2366842897.0,Health Care,Major Pharmaceuticals,56,male, San Diego, CA,-289400000.0,425,11,1.138070196,-0.0045453970000000005,0.118417922,0.9462311040000001,Yes,Dec,1,0,0
ACBI,127,210,2015,11,2,0,33,19.0,489673225.0,Finance,Major Banks,59,male, Atlanta, GA,-3730000.0,353,9,1.840506299,1.498255235,0.744785888,0.829993387,Yes,Dec,1,0,0
ACC,132,255,2004,8,12,3,31,38.93,5320300595.0,Consumer Services,Real Estate Investment Trusts,53,male, Austin, TX,67500000.0,3183,11,-1.978134931,-2.293449645,-2.616188545,-0.598049162,Yes,Dec,1,1,0
ACCO,104,22,2005,8,9,1,23,13.15,1417924879.0,Consumer Durables,Publishing,54,male, Lake Zurich, IL,131699999.99999999,6620,0,0.053094674,1.168196005,1.489999364,1.4388142769999999,Yes,Dec,0,0,0
ACFC,136,241,2004,10,5,1,36,10.23,159105481.6,Finance,Savings Institutions,51,male, Jacksonville, FL,3170000.0,165,-3,1.6441907390000001,1.733375256,1.074028245,0.8657612509999999,Yes,Dec,1,1,0
ACGLO,87,121,2017,8,16,2,23,24.36,0.0,Finance,Property-Casualty Insurers,50,male, Hamilton, Bermuda,612540000.0,3140,17,-0.109611368,1.012885472,1.477303104,1.4516079240000002,No,Dec,0,0,0
ACGLP,127,12,2016,9,23,4,23,23.84,0.0,Finance,Property-Casualty Insurers,50,male, Hamilton, Bermuda,612540000.0,3140,16,0.10782597,0.295597352,0.9977503109999999,1.251170312,No,Dec,0,0,0
ACHC,136,249,2011,11,1,1,31,38.8,3424995194.0,Health Care,Medical Specialities,62,male, Franklin, TN,199840000.0,40600,6,0.227839701,0.7636005309999999,-0.45196021,-0.7413896940000001,Yes,Dec,1,1,0
ACLS,115,7,2000,7,11,1,26,24.45,785680358.7,Technology,Industrial Machinery/Components,58,female, Beverly, MA,126960000.0,985,22,1.270624274,1.214347595,1.027770904,1.338709307,Yes,Dec,0,0,0
ACM,144,260,2007,5,10,3,5,36.34,5784205857.0,Consumer Services,Military/Government/Technical,54,male, Los Angeles, CA,339390000.0,87000,17,0.44499712700000005,1.2889280159999998,1.925350612,1.6645612,Yes,Sep,1,1,0
ACN,121,220,2001,7,19,3,13,151.42,102000000000.0,Miscellaneous,Business Services,58,male, Dublin, Ireland,3450000000.0,425000,12,0.030476119,-0.94454422,-0.453419271,-1.0472880820000001,No,Aug,1,0,0
ACOR,111,117,2006,2,10,4,25,23.35,1095436459.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),62,male, Ardsley, NY,-223360000.0,484,11,-0.705070361,0.11251105,0.9034061290000001,1.403122349,Yes,Dec,0,0,1
ACRE,117,4,2012,4,26,3,39,12.36,353482601.8,Consumer Services,Real Estate Investment Trusts,47,male, Atlanta, GA,30410000.0,1000,15,0.6341412470000001,1.031009076,1.277660046,1.5052821769999998,Yes,Dec,0,0,0
ACRS,128,262,2015,10,7,2,26,17.78,549428527.8,Health Care,Major Pharmaceuticals,47,male, Malvern, PA,-68520000.0,96,3,1.4721409619999999,-0.285172202,-0.9058344070000001,-0.84594065,Yes,Dec,1,0,0
ACRX,109,19,2011,2,11,4,28,2.4,122157969.6,Health Care,Major Pharmaceuticals,49,male, Redwood City, CA,-51510000.0,41,6,1.941645593,1.764702081,1.779079649,2.320822999,Yes,Dec,0,0,0
ADAP,124,50,2015,5,6,2,28,12.36,802097206.6,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),55,male, Abingdon, the United Kingdom,-70890000.0,371,1,-1.429679341,-0.365350144,0.426520645,1.0461466940000002,No,Dec,0,0,0
ADMA,93,257,2013,10,17,3,18,5.07,229758427.1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),38,male, Hackensack, NJ,-43760000.0,295,7,1.898196959,2.085225785,1.969283649,1.620020605,Yes,Dec,1,0,0
ADMS,125,253,2014,4,10,3,28,24.37,653291975.8,Health Care,Major Pharmaceuticals,53,male, Emeryville, CA,-89490000.0,147,14,-2.0385615969999997,-0.173444039,0.457264081,1.105296186,Yes,Dec,1,0,0
ADRO,124,59,2015,4,15,2,19,7.5,607548645.0,Health Care,Major Pharmaceuticals,68,male, Berkeley, CA,-91860000.0,162,15,1.505896558,1.117827181,1.173114629,1.564274041,Yes,Dec,0,0,0
ADS,133,257,2001,6,8,4,33,210.55,11677381558.0,Miscellaneous,Business Services,54,male, Plano, TX,788700000.0,20000,5,-0.417853871,0.811429085,-0.024202976,-0.8229672440000001,Yes,Dec,1,1,0
ADSW,130,250,2016,10,6,3,32,22.74,2013287128.0,Public Utilities,Environmental Services,52,male, Ponte Vedra, FL,38300000.0,5939,4,0.258921318,-0.23525242,0.804698134,1.136330901,Yes,Dec,1,1,0
ADT,31,14,2018,1,19,4,8,8.99,6734693560.0,Consumer Services,Diversified Commercial Services,56,male, Boca Raton, FL,342630000.0,18000,3,1.71816325,2.262285496,2.438095042,2.716994928,Yes,Dec,0,0,0
ADVM,134,222,2014,7,31,3,29,6.35,395126267.2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),55,female, Menlo Park, CA,-56150000.0,78,8,-3.612448606,-0.179197965,0.6617778870000001,1.159053656,Yes,Dec,1,1,0
AEL,121,261,2003,12,4,3,47,30.08,2703597078.0,Finance,Life Insurance,62,male, West Des Moines, IA,174650000.0,515,8,1.638821989,1.817335102,1.974953367,1.6269085580000002,Yes,Dec,1,0,0
AEMD,3,61,1998,11,6,4,21,1.3234,22101723.58,Capital Goods,Biotechnology: Laboratory Analytical Instruments,55,male, San Diego, CA,-7280000.0,7,0,1.612872064,2.109216542,1.034936576,1.288651075,Yes,Mar,0,0,0
AER,114,227,2006,11,21,1,20,52.26,7995367198.0,Technology,Diversified Commercial Services,44,male, Dublin, Ireland,1080000000.0,407,11,1.730832689,1.678409958,1.9809636430000002,2.7907388660000003,No,Dec,1,0,0
AERI,124,261,2013,10,25,4,27,53.1,2097072990.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),64,male, Irvine, CA,-145110000.0,160,8,1.7157062180000002,2.298229616,2.4309511230000003,1.7801915369999999,Yes,Dec,1,0,0
AETI,108,261,1997,8,15,4,36,0.7979999999999999,6979035.882,Energy,Industrial Machinery/Components,46,male, Houston, TX,-2230000.0,246,51,-2.484480107,0.083682645,0.901522237,1.258823225,Yes,Dec,1,0,1
AFH,125,259,2013,2,12,1,30,11.4,136081458.0,Finance,Property-Casualty Insurers,46,male, Elk Grove Village, IL,-38810000.0,264,3,1.448197582,1.642942577,2.246519571,2.35770307,Yes,Dec,1,0,0
AFI,130,255,2016,3,17,3,24,13.84,356396635.7,Consumer Non-Durables,Plastic Products,52,male, Lancaster, PA,-41800000.0,3600,0,1.6960769530000002,1.299546376,0.618157953,0.077874072,Yes,Dec,1,1,0
